,"DECEMBER 2021 YTD - NEW MOPEDS/MOTORCYLES OVER 50CC BY MAKE, YEAR TO DATE",,,,,,,,,,,,,,
MAKE,MODEL,SUBMOD,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YTD
TRIUMPH,SCRAMBLER 1200,STEVE MCQUEEN,,,,,,,4,1,2,,,7,
TRIUMPH,SCRAMBLER XC,1200 DSA,,,,,,2,,,2,,,1,5
TRIUMPH,SPEED TRIPLE,RR 1200,,,,,,,,,,,,2,2
TRIUMPH,SPEED TRIPLE,RS 1200,,,,,7,7,8,2,1,3,4,2,34
TRIUMPH,SPEED TRIPLE,RS NN6,,3,1,,1,,,,,,,5,
TRIUMPH,SPEED TWIN,1200 DD2,,1,7,1,1,1,1,,1,,,13,
TRIUMPH,SPEED TWIN,1200 DD4,,,,,,,2,1,1,4,2,5,15
TRIUMPH,SPEEDMASTER,1200 DW,,2,,2,1,,,,,,,5,
TRIUMPH,SPEEDMASTER,1200 DW4,,,,2,3,4,1,1,1,1,2,3,18
TRIUMPH,STREET SCRAMBLER,900 DC3,,1,1,,,2,,,,,,1,5
TRIUMPH,STREET SCRAMBLER,900 DC4,,,,,,,,,,1,,1,2
TRIUMPH,STREET SCRAMBLER,ABS B1 900 DC,,,1,,,,,,,,,1,
TRIUMPH,STREET SCRAMBLER 900,SANDSTORM D54,,,,,,,1,,1,,,2,
TRIUMPH,STREET TRIPLE,R HG7,,,,,,,1,,,,2,1,4
TRIUMPH,STREET TRIPLE,R LRH HH7,,,,,,,1,,,1,,2,
TRIUMPH,STREET TRIPLE,RS,,7,2,3,4,6,3,3,,4,1,3,36
TRIUMPH,STREET TRIPLE,RS HD6,,1,1,,,,,,,,,2,
TRIUMPH,STREET TRIPLE,S LAM,,1,,,2,4,3,3,,2,,15,
TRIUMPH,STREET TWIN,900 DP3,,1,1,,,,,,1,,,3,
TRIUMPH,STREET TWIN,900 DP4,,,,1,,4,,,,1,4,10,
TRIUMPH,STREET TWIN,GOLDLINE SE,,,,,,,3,1,,,1,5,
TRIUMPH,THRUXTON,R ABS B1 1200 DE2,,1,,,1,1,3,,,,1,7,
TRIUMPH,THRUXTON,RS 1200 DF4,,1,1,1,1,1,,,1,1,1,1,9
TRIUMPH,TIGER,1200 SE DESERT,,1,,,,,,,,,,1,
TRIUMPH,TIGER,800XCA CS3,,,,,,,1,,,1,,1,3
TRIUMPH,TIGER,800XCX CN3,,1,1,,,,,,,,1,1,4
TRIUMPH,TIGER,800XR CG3,,,,,,,,,1,,,1,
TRIUMPH,TIGER,800XRX CM3,,,,1,,,,,,,,1,
TRIUMPH,TIGER,900 GT PRO CR7,,4,3,3,2,1,7,,,4,4,7,35
TRIUMPH,TIGER,900 RALLY PRO CS7,,6,2,6,2,1,1,4,1,1,2,7,4
TRIUMPH,TIGER,XRT VR3,,1,,,,,,,,,,1,
TRIUMPH,TIGER 1200,XCX VN3,,1,,1,,,,,,,,2,
TRIUMPH,TIGER 1200,XR VG3,,1,,,,,,,,,,1,
TRIUMPH,TIGER 900,GT CM7,,2,2,,,1,1,,1,,1,8,
TRIUMPH,TIGER 900,GT LOW CT7,,,,1,,,1,,1,3,,2,8
TRIUMPH,TIGER 900,RALLY CN7,,,2,,,,,1,,,,1,4
TRIUMPH,TRIDENT,660 LAM,,,16,9,4,6,8,1,1,13,6,23,87
URAL,RANGER,GEAR UP,,2,,,,,,,,,,2,
VESPA,GTS,150LC,,4,8,1,1,1,4,2,2,1,1,1,26
VESPA,GTS,300 75TH ANNIVERSARY,,,,,,,,,1,3,1,1,6
VESPA,GTS,300 RACING SIXTIES,,2,3,2,1,2,1,,,1,1,1,14
VESPA,GTS,300 SUPER ABS,,2,,1,,,,,,,,3,
VESPA,GTS,300 SUPER TECH,,1,3,4,3,3,2,4,2,3,3,3,31
VESPA,GTS,300 SUPERSPORT ABS,,1,1,4,2,,,,,1,,9,
VESPA,GTS,300 SUPERSPORT HPE,,7,1,7,5,1,4,,2,4,6,3,40
VESPA,GTS,300 TOURING,,4,1,2,,1,,,,,,8,
VESPA,GTV,300,SEI GIORNI,,1,,,1,,,,,,2,
VESPA,GTV,300 HPE SEI GIORNI,,,3,,,,,,,,7,1,11
VESPA,PRIMAVERA,150 IGET,,3,3,10,5,6,2,3,4,8,3,8,55
VESPA,SPRINT,125,,1,,,,,,,,,,1,
VESPA,SPRINT,150 IGET,,1,1,2,7,3,1,3,1,4,1,24,
VESPA,SPRINT,150 RACING SIXTIES,,,,1,,2,,,,,,3,
YAMAHA,AG125,M,,,,,,,,,,,1,1,
YAMAHA,CZD300A,K,,1,,,,,1,,,,,2,
YAMAHA,CZD300A,L,,3,2,3,3,,1,2,2,1,5,1,23
YAMAHA,FJR1300,AEJ,,1,,1,,,,,1,,,3,
YAMAHA,FJR1300,AEM,,,,,,1,,1,,,,2,
YAMAHA,FJR1300,APL,,,,,,,,,,1,,1,
YAMAHA,FJR1300,APM,,,,,,,,,1,,,1,
YAMAHA,GPD150A,K,,2,2,2,1,,1,,1,1,1,11,
YAMAHA,GPD150A,L,,,,2,1,,1,1,2,2,1,1,11
YAMAHA,MT-09,TRAK,,,,,,,1,,,2,1,1,5
YAMAHA,MT-09,TRAPK,,,,1,,,,1,,,,2,
YAMAHA,MT-09,TRAPM,,,,,,,,,4,,,4,
YAMAHA,MT-10,AK,,,1,,1,,1,,2,,,1,6
YAMAHA,MT-10,AM,,,,,,,,,,1,1,2,4
YAMAHA,MT03LA,K,,,,,,1,,,1,,,2,
YAMAHA,MT03LA,L,12,13,12,3,3,1,,,1,1,1,1,48
YAMAHA,MT03LA,M,,,,3,8,8,8,2,9,6,14,13,71
YAMAHA,MT07HO,AL,,1,,,,,,,,1,,2,
YAMAHA,MT07HO,AM,,,,1,3,1,1,,3,1,,10,
YAMAHA,MT07LA,K,1,1,,,,,,,1,,,3,
YAMAHA,MT07LA,L,15,10,11,3,5,4,1,2,6,4,,2,63
YAMAHA,MT07LA,M,,,,16,,9,11,4,7,6,14,7,74
YAMAHA,MT09A,LC,5,,1,,1,,,1,,,,1,9
YAMAHA,MT09A,M,,,,,3,8,4,1,6,6,2,7,37
YAMAHA,MT09A,SPK,1,,,,,,,,,,,1,
YAMAHA,MT09A,SPM,,,,,4,3,5,,1,8,5,7,33
YAMAHA,MT09TRASP,K,,1,,,,,,,,,,1,2
YAMAHA,MT09TRASP,L,2,1,,2,3,1,,2,2,,1,14,
YAMAHA,MT09TRASP,M,,,,,,7,1,1,3,9,4,1,26
YAMAHA,MT10ASP,K,1,,2,,,,,,,,,3,
YAMAHA,MT10ASP,L,3,,,,,,1,,,1,,5,
YAMAHA,MT10ASP,M,,1,,1,,1,2,1,3,2,2,13,
YAMAHA,MTM660LA,K,,1,,,,,,,,,,1,
YAMAHA,MTM660LA,L,,,1,1,1,,,,,,,3,
YAMAHA,MTM660LA,M,,,,2,1,3,2,1,4,4,4,4,25
YAMAHA,MTM850A,K,1,,,,1,,,,,,,2,
YAMAHA,MTM850A,L,2,,1,1,,,,,,,,4,
YAMAHA,MTM850A,M,,1,1,1,2,,4,,2,2,4,1,18
YAMAHA,MTM850A,SPM,3,5,2,,,1,1,,,,,12,
YAMAHA,MTX,850J,,,,,,,,,,2,2,2,6
YAMAHA,TW200,K,3,2,3,4,,5,1,1,1,3,,1,24
YAMAHA,WR,250FN,,,,,,,,,,,,1,1
YAMAHA,WR,450FH,,,,,,,1,,,,,1,
YAMAHA,WR,450FJ,,,,,,,,,,1,,1,
YAMAHA,WR,450FK,,1,,,,,,,,,,1,
YAMAHA,WR,450FT,,,,,,1,,,,,,1,
YAMAHA,WR250,RJ,,,,1,,,,,,,,1,
YAMAHA,WR250F,L,1,,,,,1,1,,,,,3,
YAMAHA,WR250F,M,,1,2,,1,2,2,,1,,,1,10
YAMAHA,WR250R,L,4,4,5,4,1,2,3,4,,3,,30,
YAMAHA,WR450F,LC,,,1,1,2,,1,,1,1,,7,
YAMAHA,WR450F,M,,1,2,1,3,2,,,1,4,1,15,
YAMAHA,XC,115SF,,,1,,,,,,,,,1,
YAMAHA,XJ6,FA,,,,,,1,,,,,,1,
YAMAHA,XJR,1300G,,,1,,,,,,,,,1,
YAMAHA,XP560E,M,,,,,,,,,,1,1,1,3
YAMAHA,XT1200,ZEH,,,,,,1,,,,,,1,
YAMAHA,XT1200,ZEM,,1,,,1,,,,,,2,2,6
YAMAHA,XT250L,TRAIL BIKE,,1,5,3,1,1,,,,,,11,
YAMAHA,XTZ690,L,7,4,1,1,,,,,,1,,14,
YAMAHA,XTZ690,M,,,,,,,,,,,24,24,
YAMAHA,XV250,K,1,,,,,,,,,,,1,
YAMAHA,XV250,L,3,,2,,,,,,,,,5,
YAMAHA,XV250,M,,,1,1,,,,,,,,2,
YAMAHA,XVS,950CRF,2,2,1,1,,,1,,,,,7,
YAMAHA,XVS950,CUG,1,,,1,,,,,,,,2,
YAMAHA,XVS950CUSP,K,1,,,,,,,,,,,1,
YAMAHA,YS125A,L,5,4,8,,3,1,4,1,2,3,6,6,43
YAMAHA,YZF,-R1M,4,,1,,1,,1,,2,2,1,1,13
YAMAHA,YZF,R1H,,,,,,1,,,,,,1,
YAMAHA,YZF,R1MM,,,,1,,1,1,,,2,,5,
YAMAHA,YZF-R15,L,2,,3,1,3,,4,,,4,2,3,22
YAMAHA,YZF-R3A,K,1,,,,,,,,,,,1,
YAMAHA,YZF-R3A,L,5,7,2,4,2,1,,1,3,,,25,
YAMAHA,YZF-R3A,M,6,11,3,9,9,8,8,6,3,9,14,9,95
YAMAHA,YZF-R3A,SPL,,,1,,,,,,,,,1,
YAMAHA,YZF-R6L,SPORTS BIKE,2,2,1,5,3,,,1,,1,2,17,
YAMAHA,YZF-R6L,Sports Bike,,1,,,,,,,,,,1,
YAMAHA,YZF-R7HO,N,,,,,,,,,,,,1,1
YAMAHA,YZF-R7LA,N,,,,,,,,,,,,2,2
ZNEN,ZN125-TE,,,,,,2,,,,,,,2,
ZNEN,ZN125T,E,,,,1,,,,,,,,1,
TOTALS,,,678,652,760,581,681,645,641,387,852,1064,914,795,8650
